sample_index,feature_a,feature_b,feature_c,ratio_d,cohort_group,target_score
1,85.96,73.78,19.75,6.388,Group Beta,66.79
2,107.19,89.22,0.9,8.796,Group Gamma,76.74
3,68.95,65.55,0.31,9.729,Group Alpha,58.37
4,44.37,45.99,3.01,2.651,Group Alpha,42.26
5,112.9,85.11,8.48,3.621,Group Gamma,80.98
6,37.85,39.96,5.18,4.297,Group Alpha,36.96
7,127.59,104.56,3.34,5.628,Group Gamma,93.45
8,103.47,88.16,14.03,2.535,Group Gamma,75.71
9,102.79,85.63,17.29,4.961,Group Gamma,80.28
10,79.84,64.59,0.52,9.184,Group Beta,61.57
11,119.87,93.8,5.6,5.681,Group Gamma,84.63
12,34.06,36.53,52.39,7.976,Group Alpha,35.73
13,88.86,77.5,1.39,2.764,Group Beta,68.99
14,108.61,89.95,7.38,3.442,Group Gamma,80.41
15,44.47,48.64,4.95,5.884,Group Alpha,46.22
16,53.89,48.49,1.16,9.882,Group Alpha,48.19
17,41.88,44.47,0.08,8.339,Group Alpha,35.11
18,62.37,61.43,22.13,1.666,Group Alpha,53.03
19,39.93,38.4,29.83,6.61,Group Alpha,39.87
20,44.25,42.26,5.59,3.927,Group Alpha,43.37
21,89.75,84.09,32.73,5.25,Group Beta,70.27
22,84.34,70.03,21.46,6.051,Group Beta,63.24
23,109.57,100.0,11.1,4.848,Group Gamma,80.95
24,111.04,91.78,5.66,5.577,Group Gamma,78.96
25,77.36,69.81,7.92,7.8,Group Beta,59.43
26,40.3,37.72,39.82,8.273,Group Alpha,35.51
27,120.98,102.38,24.42,2.679,Group Gamma,89.61
28,51.16,53.21,24.71,9.065,Group Alpha,42.57
29,71.58,62.05,3.88,4.844,Group Beta,55.66
30,113.55,96.47,0.1,5.597,Group Gamma,85.05
31,33.02,32.66,1.92,4.039,Group Alpha,36.33
32,48.06,48.07,10.97,7.327,Group Alpha,41.95
33,83.09,71.95,49.23,3.266,Group Beta,69.04
34,56.97,52.59,5.03,1.332,Group Beta,52.73
35,50.72,60.36,0.79,3.508,Group Alpha,49.85
36,77.69,69.78,2.35,5.405,Group Beta,58.56
37,93.71,84.04,4.07,7.554,Group Beta,76.62
38,126.83,98.11,15.06,5.822,Group Gamma,94.12
39,68.11,58.25,0.62,6.318,Group Beta,57.56
40,61.39,56.39,15.54,2.569,Group Beta,55.75
41,38.97,46.98,41.41,2.238,Group Alpha,43.03
42,70.6,61.34,38.79,8.896,Group Beta,57.29
43,119.76,93.67,25.49,5.997,Group Gamma,84.16
44,90.71,78.96,1.47,9.075,Group Gamma,65.16
45,113.12,98.75,6.21,4.143,Group Gamma,86.73
46,86.26,76.18,32.72,8.019,Group Beta,63.02
47,41.84,42.54,2.64,9.087,Group Alpha,37.3
48,53.52,46.57,0.08,2.447,Group Alpha,43.77
49,102.39,89.16,15.83,3.018,Group Beta,78.97
50,38.3,42.66,5.9,7.718,Group Alpha,38.83
51,91.56,80.73,16.08,6.115,Group Beta,67.72
52,47.06,41.53,4.62,3.196,Group Alpha,44.93
53,79.07,71.01,33.39,6.68,Group Beta,64.98
54,80.16,77.39,12.9,5.433,Group Beta,67.38
55,87.51,71.35,4.94,1.219,Group Beta,65.55
56,67.15,62.77,42.32,9.585,Group Beta,59.46
57,77.32,71.56,0.23,9.355,Group Beta,61.92
58,85.68,73.9,49.71,8.677,Group Beta,63.6
59,69.84,54.81,28.57,3.852,Group Beta,51.13
60,82.57,65.7,41.27,7.264,Group Beta,65.59
61,39.39,40.31,14.32,9.91,Group Alpha,41.98
62,80.7,64.81,31.48,7.667,Group Beta,61.78
63,93.0,85.02,6.68,3.642,Group Beta,76.76
64,56.18,54.7,30.27,9.219,Group Alpha,45.78
65,86.18,93.9,24.01,6.85,Group Beta,74.97
66,121.45,104.34,33.11,4.042,Group Gamma,87.99
67,70.73,61.86,12.95,1.323,Group Beta,53.28
68,77.78,59.0,5.06,6.317,Group Alpha,62.03
69,104.34,93.7,2.04,5.7,Group Gamma,81.61
70,41.42,44.46,14.63,1.768,Group Alpha,36.96
71,50.55,44.65,11.67,6.737,Group Alpha,43.21
72,85.7,75.21,23.78,3.437,Group Gamma,70.49
73,40.49,39.79,0.39,9.664,Group Alpha,33.17
74,56.06,56.37,7.89,2.56,Group Alpha,51.21
75,104.3,84.96,11.95,7.431,Group Gamma,80.93
76,64.87,63.24,46.47,7.641,Group Beta,54.59
77,75.47,71.76,8.16,3.23,Group Alpha,57.75
78,125.2,100.36,0.22,2.045,Group Gamma,92.64
79,55.33,55.37,9.64,1.881,Group Alpha,49.52
80,41.1,35.7,2.85,4.905,Group Beta,38.54
81,69.59,55.04,15.12,1.408,Group Alpha,52.56
82,67.3,53.3,10.49,8.708,Group Alpha,50.78
83,98.22,85.98,1.1,6.782,Group Gamma,73.27
84,80.84,68.7,42.26,6.179,Group Beta,64.66
85,99.03,78.08,9.19,5.911,Group Beta,69.53
86,78.18,71.58,48.74,9.148,Group Beta,58.89
87,113.37,91.91,1.11,3.871,Group Gamma,83.52
