invoice_no,customer_id,description,quantity,unit_price,total_amount,invoice_date,country
INV-1001,CUST-0060,Vertical Ergonomic Mouse,4,45.0,180.0,2025-06-09 13:00:00,France
INV-1002,CUST-0002,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-04-13 12:00:00,France
INV-1002,CUST-0002,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-04-13 12:00:00,France
INV-1002,CUST-0002,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-04-13 12:00:00,France
INV-1003,CUST-0064,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-10-07 20:00:00,Germany
INV-1004,CUST-0053,Smart LED Desk Lamp,1,29.95,29.95,2025-04-30 16:00:00,United Kingdom
INV-1004,CUST-0053,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-04-30 16:00:00,United Kingdom
INV-1005,CUST-0049,Vertical Ergonomic Mouse,2,45.0,90.0,2025-06-07 09:00:00,Australia
INV-1006,CUST-0054,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-01-31 10:00:00,United States
INV-1006,CUST-0054,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-01-31 10:00:00,United States
INV-1006,CUST-0054,Vertical Ergonomic Mouse,4,45.0,180.0,2025-01-31 10:00:00,United States
INV-1007,CUST-0048,Vertical Ergonomic Mouse,2,45.0,90.0,2025-02-13 17:00:00,United States
INV-1008,CUST-0051,USB-C Multiport Hub,2,39.99,79.98,2025-10-31 17:00:00,United Kingdom
INV-1009,CUST-0031,Smart LED Desk Lamp,3,29.95,89.85,2025-05-14 13:00:00,France
INV-1009,CUST-0031,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-05-14 13:00:00,France
INV-1010,CUST-0035,Vertical Ergonomic Mouse,1,45.0,45.0,2025-02-08 11:00:00,Germany
INV-1011,CUST-0020,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-03-26 15:00:00,United Kingdom
INV-1011,CUST-0020,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-03-26 15:00:00,United Kingdom
INV-1012,CUST-0046,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-08-20 12:00:00,Germany
INV-1012,CUST-0046,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-08-20 12:00:00,Germany
INV-1013,CUST-0039,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-12-23 17:00:00,Australia
INV-1014,CUST-0019,Vertical Ergonomic Mouse,1,45.0,45.0,2025-05-08 13:00:00,United Kingdom
INV-1014,CUST-0019,Smart LED Desk Lamp,3,29.95,89.85,2025-05-08 13:00:00,United Kingdom
INV-1015,CUST-0034,Vertical Ergonomic Mouse,5,45.0,225.0,2025-01-16 14:00:00,Germany
INV-1015,CUST-0034,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-01-16 14:00:00,Germany
INV-1016,CUST-0060,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-03-13 09:00:00,United Kingdom
INV-1017,CUST-0017,Smart LED Desk Lamp,1,29.95,29.95,2025-07-25 13:00:00,Germany
INV-1017,CUST-0017,Vertical Ergonomic Mouse,5,45.0,225.0,2025-07-25 13:00:00,Germany
INV-1017,CUST-0017,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-07-25 13:00:00,Germany
INV-1018,CUST-0003,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-04-12 18:00:00,United Kingdom
INV-1018,CUST-0003,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-04-12 18:00:00,United Kingdom
INV-1019,CUST-0006,USB-C Multiport Hub,4,39.99,159.96,2025-01-26 10:00:00,United States
INV-1019,CUST-0006,USB-C Multiport Hub,1,39.99,39.99,2025-01-26 10:00:00,United States
INV-1019,CUST-0006,USB-C Multiport Hub,4,39.99,159.96,2025-01-26 10:00:00,United States
INV-1020,CUST-0023,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-04-20 10:00:00,France
INV-1020,CUST-0023,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-04-20 10:00:00,France
INV-1021,CUST-0079,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-11-12 11:00:00,Japan
INV-1021,CUST-0079,USB-C Multiport Hub,5,39.99,199.95,2025-11-12 11:00:00,Japan
INV-1021,CUST-0079,USB-C Multiport Hub,1,39.99,39.99,2025-11-12 11:00:00,Japan
INV-1022,CUST-0012,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-07-16 10:00:00,France
INV-1022,CUST-0012,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-07-16 10:00:00,France
INV-1023,CUST-0003,USB-C Multiport Hub,3,39.99,119.97,2025-07-03 15:00:00,United States
INV-1023,CUST-0003,Vertical Ergonomic Mouse,5,45.0,225.0,2025-07-03 15:00:00,United States
INV-1023,CUST-0003,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-07-03 15:00:00,United States
INV-1024,CUST-0035,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-01-14 13:00:00,Germany
INV-1024,CUST-0035,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-01-14 13:00:00,Germany
INV-1024,CUST-0035,USB-C Multiport Hub,5,39.99,199.95,2025-01-14 13:00:00,Germany
