timestamp,power_kwh,voltage,ambient_temp_c
2025-06-01 00:00:00,47.31,231.3,22.5
2025-06-01 00:15:00,44.06,227.1,22.3
2025-06-01 00:30:00,49.65,233.1,22.2
2025-06-01 00:45:00,51.29,231.0,22.0
2025-06-01 01:00:00,49.45,232.6,22.0
2025-06-01 01:15:00,49.43,229.4,21.6
2025-06-01 01:30:00,52.18,231.8,22.3
2025-06-01 01:45:00,51.88,233.4,22.2
2025-06-01 02:00:00,51.48,226.3,22.1
2025-06-01 02:15:00,54.44,230.6,22.6
2025-06-01 02:30:00,53.58,231.8,22.2
2025-06-01 02:45:00,59.06,232.0,22.0
2025-06-01 03:00:00,57.72,230.2,22.3
2025-06-01 03:15:00,56.72,231.0,22.4
2025-06-01 03:30:00,59.8,231.5,22.3
2025-06-01 03:45:00,59.71,230.9,22.7
2025-06-01 04:00:00,59.79,226.1,22.2
2025-06-01 04:15:00,62.26,230.6,22.1
2025-06-01 04:30:00,59.08,233.8,22.1
2025-06-01 04:45:00,58.0,231.6,22.4
2025-06-01 05:00:00,58.76,232.3,22.1
2025-06-01 05:15:00,60.54,230.6,22.4
2025-06-01 05:30:00,60.42,228.3,22.6
2025-06-01 05:45:00,56.28,229.9,22.0
2025-06-01 06:00:00,56.1,232.3,22.2
2025-06-01 06:15:00,58.77,228.2,22.2
2025-06-01 06:30:00,58.86,230.8,22.8
2025-06-01 06:45:00,58.1,231.3,22.3
2025-06-01 07:00:00,53.9,232.3,22.2
2025-06-01 07:15:00,53.03,230.2,22.0
2025-06-01 07:30:00,56.88,233.7,22.6
2025-06-01 07:45:00,54.88,232.7,22.8
2025-06-01 08:00:00,51.34,229.1,22.7
2025-06-01 08:15:00,52.08,227.3,22.6
2025-06-01 08:30:00,51.6,226.4,22.3
2025-06-01 08:45:00,50.26,226.4,22.5
2025-06-01 09:00:00,46.97,229.8,23.0
2025-06-01 09:15:00,48.41,227.9,22.8
2025-06-01 09:30:00,43.96,228.1,22.7
2025-06-01 09:45:00,42.99,228.3,22.9
2025-06-01 10:00:00,41.43,228.5,22.7
2025-06-01 10:15:00,43.66,226.8,22.7
2025-06-01 10:30:00,38.86,232.8,22.8
2025-06-01 10:45:00,39.5,228.2,22.5
2025-06-01 11:00:00,39.29,228.0,22.8
2025-06-01 11:15:00,36.19,231.4,22.5
2025-06-01 11:30:00,36.46,232.2,22.8
2025-06-01 11:45:00,35.57,233.9,22.6
2025-06-01 12:00:00,30.71,226.1,22.4
2025-06-01 12:15:00,32.34,230.2,23.0
2025-06-01 12:30:00,31.29,231.8,22.6
2025-06-01 12:45:00,28.78,231.0,22.4
2025-06-01 13:00:00,31.63,233.2,22.6
2025-06-01 13:15:00,31.25,227.0,23.3
2025-06-01 13:30:00,27.86,230.8,22.8
2025-06-01 13:45:00,31.71,231.2,23.2
2025-06-01 14:00:00,28.12,226.9,22.6
2025-06-01 14:15:00,28.78,231.3,22.5
2025-06-01 14:30:00,29.83,234.0,23.2
2025-06-01 14:45:00,31.47,231.3,23.3
2025-06-01 15:00:00,29.16,232.2,22.8
2025-06-01 15:15:00,28.39,229.1,23.5
