employee_id,department,job_role,monthly_income,years_at_company,performance_rating,overtime,attrition
EMP-0001,Marketing,Lead,9096,8,3,No,No
EMP-0002,Engineering,Lead,9326,7,2,No,No
EMP-0003,Operations,Director,5019,2,3,No,Yes
EMP-0004,Operations,Manager,4549,2,3,Yes,Yes
EMP-0005,Marketing,Senior,7404,5,5,Yes,No
EMP-0006,Engineering,Lead,11366,11,3,Yes,No
EMP-0007,Sales,Senior,6679,4,3,Yes,No
EMP-0008,Finance,Director,5612,2,2,No,No
EMP-0009,Human Resources,Senior,13859,15,3,Yes,No
EMP-0010,Sales,Manager,13729,14,2,No,No
EMP-0011,Human Resources,Director,7498,6,3,No,No
EMP-0012,Human Resources,Senior,6073,4,3,No,No
EMP-0013,Finance,Director,10218,8,4,Yes,No
EMP-0014,Marketing,Associate,10927,14,5,No,No
EMP-0015,Operations,Director,12547,14,2,No,No
EMP-0016,Sales,Manager,4956,2,2,Yes,No
EMP-0017,Engineering,Manager,11825,14,2,No,No
EMP-0018,Engineering,Lead,8718,9,3,Yes,No
EMP-0019,Operations,Lead,9312,6,3,Yes,No
EMP-0020,Sales,Manager,5174,1,4,Yes,No
EMP-0021,Sales,Director,9987,15,5,No,No
EMP-0022,Sales,Manager,4896,2,5,No,Yes
EMP-0023,Engineering,Director,5698,2,4,Yes,No
EMP-0024,Finance,Lead,9347,12,3,No,No
EMP-0025,Marketing,Associate,5168,3,4,Yes,No
EMP-0026,Human Resources,Lead,8332,7,3,Yes,No
EMP-0027,Operations,Associate,7982,6,4,No,No
EMP-0028,Operations,Senior,5345,3,5,No,No
EMP-0029,Sales,Associate,10461,12,5,No,No
EMP-0030,Engineering,Lead,3604,1,3,No,Yes
EMP-0031,Operations,Senior,12147,14,3,No,No
EMP-0032,Marketing,Lead,14704,14,2,No,No
EMP-0033,Human Resources,Lead,9777,7,3,No,No
EMP-0034,Finance,Lead,12036,12,2,No,No
EMP-0035,Marketing,Lead,6134,2,2,Yes,Yes
EMP-0036,Finance,Manager,7599,6,3,No,No
EMP-0037,Marketing,Director,7926,6,4,No,No
EMP-0038,Engineering,Manager,13607,11,3,Yes,No
EMP-0039,Engineering,Senior,4672,1,2,Yes,No
EMP-0040,Finance,Associate,12279,13,4,Yes,No
