InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536000,84879,ASSORTED COLOUR BIRD ORNAMENT,11,2023-05-17 18:41:00,1.69,16467,United Kingdom
536000,47566,PARTY BUNTING,9,2023-05-06 10:29:00,4.95,14166,United Kingdom
536000,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12,2023-10-13 11:43:00,2.08,12837,United Kingdom
536000,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2023-06-11 14:17:00,1.69,17543,United Kingdom
536001,21931,JUMBO STORAGE BAG SUKI,12,2023-06-11 11:41:00,2.08,17771,United Kingdom
536001,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,8,2023-03-15 12:08:00,2.08,14278,United Kingdom
536001,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2023-10-27 14:57:00,2.95,15714,United Kingdom
536001,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2023-09-18 15:05:00,1.69,13143,France
536001,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,3,2023-12-15 14:38:00,2.08,17543,United Kingdom
536002,21931,JUMBO STORAGE BAG SUKI,8,2023-09-28 12:35:00,2.08,12912,United Kingdom
536002,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2023-10-02 12:49:00,2.95,15112,United Kingdom
536002,21212,PACK OF 72 RETROSPOT CAKE CASES,3,2023-08-21 08:46:00,0.55,13307,France
536002,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2023-11-17 12:53:00,2.95,12569,United Kingdom
536002,47566,PARTY BUNTING,6,2023-03-24 16:49:00,4.95,13866,Netherlands
536003,22383,LUNCH BAG SUKI DESIGN,1,2023-02-27 13:56:00,1.65,13763,United Kingdom
536003,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2023-02-10 09:46:00,1.69,13575,Australia
536003,47566,PARTY BUNTING,3,2023-12-04 15:35:00,4.95,16597,United Kingdom
536003,21931,JUMBO STORAGE BAG SUKI,7,2023-04-19 16:48:00,2.08,17745,United Kingdom
536003,21212,PACK OF 72 RETROSPOT CAKE CASES,11,2023-11-29 13:28:00,0.55,17417,United Kingdom
536004,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2023-02-02 13:01:00,1.69,17207,United Kingdom
536004,21931,JUMBO STORAGE BAG SUKI,4,2023-01-04 09:45:00,2.08,12839,United Kingdom
536004,22423,REGENCY CAKESTAND 3 TIER,6,2023-02-06 16:15:00,12.75,15462,United Kingdom
536004,84879,ASSORTED COLOUR BIRD ORNAMENT,9,2023-03-09 17:36:00,1.69,14962,United Kingdom
536004,22383,LUNCH BAG SUKI DESIGN,7,2023-04-08 09:06:00,1.65,12645,United Kingdom
536005,21212,PACK OF 72 RETROSPOT CAKE CASES,8,2023-01-28 18:41:00,0.55,15456,United Kingdom
536005,23203,JUMBO BAG DOILEY PATTERNS,6,2023-02-25 11:12:00,2.08,17323,United Kingdom
536005,47566,PARTY BUNTING,7,2023-04-04 12:29:00,4.95,14278,Germany
536005,22383,LUNCH BAG SUKI DESIGN,9,2023-02-20 08:41:00,1.65,12653,Germany
536005,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2023-07-28 15:30:00,1.69,15436,United Kingdom
536006,47566,PARTY BUNTING,7,2023-01-02 14:16:00,4.95,17149,United Kingdom
536006,23203,JUMBO BAG DOILEY PATTERNS,12,2023-10-12 18:45:00,2.08,13575,United Kingdom
536006,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2023-01-30 17:47:00,4.95,12653,United Kingdom
536006,20725,LUNCH BAG RED RETROSPOT,1,2023-01-26 17:30:00,1.65,12569,Australia
536006,47566,PARTY BUNTING,1,2023-09-18 09:54:00,4.95,17865,United Kingdom
536007,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2023-05-01 14:07:00,2.95,15113,United Kingdom
536007,21931,JUMBO STORAGE BAG SUKI,1,2023-11-14 09:26:00,2.08,15714,United Kingdom
536007,20725,LUNCH BAG RED RETROSPOT,5,2023-04-15 18:45:00,1.65,14757,United Kingdom
536007,21212,PACK OF 72 RETROSPOT CAKE CASES,3,2023-12-10 18:19:00,0.55,17149,United Kingdom
536007,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-08-23 17:36:00,2.95,15456,United Kingdom
536008,84879,ASSORTED COLOUR BIRD ORNAMENT,9,2023-05-16 10:59:00,1.69,12792,EIRE
536008,20725,LUNCH BAG RED RETROSPOT,5,2023-03-22 15:53:00,1.65,12653,United Kingdom
536008,21931,JUMBO STORAGE BAG SUKI,11,2023-09-28 08:42:00,2.08,13907,United Kingdom
536008,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2023-03-10 12:07:00,2.08,12260,United Kingdom
536008,47566,PARTY BUNTING,5,2023-05-25 17:13:00,4.95,15112,United Kingdom
536009,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,5,2023-09-16 15:16:00,2.08,13143,United Kingdom
536009,21212,PACK OF 72 RETROSPOT CAKE CASES,5,2023-01-23 08:21:00,0.55,13791,United Kingdom
536009,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,2023-08-15 16:45:00,4.95,15100,United Kingdom
536009,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-12-20 10:34:00,2.95,14006,Australia
536009,47566,PARTY BUNTING,7,2023-03-07 08:19:00,4.95,14817,United Kingdom
536010,20725,LUNCH BAG RED RETROSPOT,4,2023-12-16 11:42:00,1.65,12260,United Kingdom
536010,22086,PAPER CHAIN KIT 50'S CHRISTMAS,7,2023-11-14 10:59:00,2.95,16827,France
536010,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2023-04-02 13:50:00,0.55,16392,EIRE
536010,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,2023-12-26 09:24:00,4.95,14006,EIRE
536010,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2023-06-29 12:52:00,1.69,15679,United Kingdom
536011,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,4,2023-07-24 13:17:00,2.08,17543,Spain
536011,20725,LUNCH BAG RED RETROSPOT,11,2023-09-18 14:43:00,1.65,14370,United Kingdom
536011,22423,REGENCY CAKESTAND 3 TIER,2,2023-05-14 10:37:00,12.75,13307,United Kingdom
536011,21931,JUMBO STORAGE BAG SUKI,7,2023-06-26 13:27:00,2.08,13332,Germany
536011,21212,PACK OF 72 RETROSPOT CAKE CASES,10,2023-04-08 12:02:00,0.55,12645,United Kingdom
536012,22086,PAPER CHAIN KIT 50'S CHRISTMAS,11,2023-12-10 11:23:00,2.95,12645,United Kingdom
536012,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2023-11-16 13:42:00,2.08,12767,United Kingdom
536012,22720,SET OF 3 CAKE TINS PANTRY DESIGN,9,2023-06-08 18:26:00,4.95,12837,United Kingdom
536012,22720,SET OF 3 CAKE TINS PANTRY DESIGN,9,2023-03-07 11:26:00,4.95,14166,United Kingdom
536012,47566,PARTY BUNTING,10,2023-10-19 12:25:00,4.95,13907,Spain
536013,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2023-08-09 17:38:00,4.95,12837,United Kingdom
536013,22383,LUNCH BAG SUKI DESIGN,11,2023-04-20 16:30:00,1.65,16597,United Kingdom
536013,22720,SET OF 3 CAKE TINS PANTRY DESIGN,9,2023-12-06 18:39:00,4.95,12759,United Kingdom
536013,84879,ASSORTED COLOUR BIRD ORNAMENT,11,2023-06-08 11:51:00,1.69,17745,United Kingdom
536013,22423,REGENCY CAKESTAND 3 TIER,4,2023-09-01 17:54:00,12.75,16467,United Kingdom
536014,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2023-04-10 14:31:00,2.08,15763,United Kingdom
536014,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12,2023-01-03 09:49:00,2.08,15100,United Kingdom
536014,23203,JUMBO BAG DOILEY PATTERNS,9,2023-08-26 08:35:00,2.08,14278,Germany
536014,22383,LUNCH BAG SUKI DESIGN,3,2023-08-26 18:33:00,1.65,12827,United Kingdom
536014,22383,LUNCH BAG SUKI DESIGN,10,2023-09-16 14:53:00,1.65,13907,United Kingdom
536015,47566,PARTY BUNTING,12,2023-09-01 15:16:00,4.95,14278,Spain
536015,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,2023-11-17 11:17:00,2.95,16522,United Kingdom
536015,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2023-05-20 13:20:00,4.95,12653,United Kingdom
536015,47566,PARTY BUNTING,4,2023-07-16 10:45:00,4.95,15436,United Kingdom
536015,21212,PACK OF 72 RETROSPOT CAKE CASES,6,2023-10-05 15:26:00,0.55,12839,United Kingdom
536016,21212,PACK OF 72 RETROSPOT CAKE CASES,7,2023-10-27 08:54:00,0.55,14277,United Kingdom
536016,22423,REGENCY CAKESTAND 3 TIER,6,2023-06-02 14:54:00,12.75,13022,United Kingdom
536016,23203,JUMBO BAG DOILEY PATTERNS,9,2023-11-05 11:31:00,2.08,13805,United Kingdom
536016,22383,LUNCH BAG SUKI DESIGN,1,2023-07-19 13:42:00,1.65,15763,United Kingdom
536016,22383,LUNCH BAG SUKI DESIGN,3,2023-11-15 16:01:00,1.65,17977,United Kingdom
